,timestamp,symbol,vwap,delayed_trade_date
0,2022-08-10 13:00:00,AMZN,142.742064,2022-08-10 00:00:00
68,2022-08-10 13:00:00,LTRPB,27.528229,2022-08-10 00:00:00
67,2022-08-10 13:00:00,OPEN,5.961006,2022-08-10 00:00:00
66,2022-08-10 13:00:00,STIM,4.329405,2022-08-10 00:00:00
65,2022-08-10 13:00:00,ALNA,0.127263,2022-08-10 00:00:00
64,2022-08-10 13:00:00,EHTH,7.732169,2022-08-10 00:00:00
63,2022-08-10 13:00:00,EIGR,8.844104,2022-08-10 00:00:00
62,2022-08-10 13:00:00,NFLX,238.491466,2022-08-10 00:00:00
61,2022-08-10 13:00:00,CAPR,4.634909,2022-08-10 00:00:00
60,2022-08-10 13:00:00,MELI,1058.229623,2022-08-10 00:00:00
70,2022-08-10 13:00:00,OILK,47.544491,2022-08-10 00:00:00
59,2022-08-10 13:00:00,EYES,2.004773,2022-08-10 00:00:00
57,2022-08-10 13:00:00,BTCUSD,0.0,2022-08-10 00:00:00
56,2022-08-10 13:00:00,META,176.97276,2022-08-10 00:00:00
55,2022-08-10 13:00:00,INTU,476.879866,2022-08-10 00:00:00
54,2022-08-10 13:00:00,CFRX,0.284029,2022-08-10 00:00:00
53,2022-08-10 13:00:00,UPST,29.625262,2022-08-10 00:00:00
52,2022-08-10 13:00:00,OKTA,105.236377,2022-08-10 00:00:00
51,2022-08-10 13:00:00,CDK,0.0,2022-08-10 00:00:00
50,2022-08-10 13:00:00,MBCN,27.534175,2022-08-10 00:00:00
49,2022-08-10 13:00:00,AAP,195.420968,2022-08-10 00:00:00
58,2022-08-10 13:00:00,LWAY,5.7245,2022-08-10 00:00:00
48,2022-08-10 13:00:00,SNGX,0.848056,2022-08-10 00:00:00
71,2022-08-10 13:00:00,PLRX,20.833642,2022-08-10 00:00:00
73,2022-08-10 13:00:00,GNLN,2.937231,2022-08-10 00:00:00
93,2022-08-10 13:00:00,KIRK,3.136005,2022-08-10 00:00:00
92,2022-08-10 13:00:00,PRCH,2.821617,2022-08-10 00:00:00
91,2022-08-10 13:00:00,EAR,1.048018,2022-08-10 00:00:00
90,2022-08-10 13:00:00,BTCUSDT,24059.768274,2022-08-10 00:00:00
89,2022-08-10 13:00:00,NVDA,175.162301,2022-08-10 00:00:00
88,2022-08-10 13:00:00,DOCU,73.960933,2022-08-10 00:00:00
87,2022-08-10 13:00:00,MANT,95.729567,2022-08-10 00:00:00
86,2022-08-10 13:00:00,ZM,110.358456,2022-08-10 00:00:00
85,2022-08-10 13:00:00,TSLA,875.531557,2022-08-10 00:00:00
72,2022-08-10 13:00:00,COGT,13.364823,2022-08-10 00:00:00
84,2022-08-10 13:00:00,BIOL,5.505062,2022-08-10 00:00:00
82,2022-08-10 13:00:00,HYRE,0.955488,2022-08-10 00:00:00
81,2022-08-10 13:00:00,REAL,2.895137,2022-08-10 00:00:00
80,2022-08-10 13:00:00,INZY,3.451686,2022-08-10 00:00:00
79,2022-08-10 13:00:00,DBVT,2.690309,2022-08-10 00:00:00
78,2022-08-10 13:00:00,FTNT,53.94885,2022-08-10 00:00:00
77,2022-08-10 13:00:00,PLBC,32.84,2022-08-10 00:00:00
76,2022-08-10 13:00:00,ECOR,0.67108,2022-08-10 00:00:00
