id,symbol,percent,entry_date,entry_price,market_entry_date,current_position,split_adjusted_entry,prior_portfolio_value,target_position_value,prior_position_value,cash_used,share_count,prior_cumulative_share_count,post_cumulative_share_count,status,address,realized_profit
0,MSFT,0.218,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
1,GOOGL,0.199,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
2,HD,0.18,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
3,FNV,0.161,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
4,FB,0.16,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
5,TWTR,0.153,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
6,AMZN,0.148,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
7,QQQ,0.125,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
8,MTCH,0.119,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
9,GLD,0.11,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
10,RH,0.106,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
11,UBER,0.105,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
12,WE,0.099,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
13,SPOT,0.094,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
14,SHW,0.07,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
15,PLTR,0.06,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
16,SHOP,0.055,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
17,ABNB,0.049,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
18,BMBL,0.044,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
19,TSLA,0.029,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
20,ARKK,-0.101,2021-12-30 19:58:25+00:00,,,,,,,,,,,,,0x41da2035ac26e4308b624a84d3caebf80a4dccf1,
