id,symbol,percent,entry_date,entry_price,market_entry_date,current_position,split_adjusted_entry,prior_portfolio_value,target_position_value,prior_position_value,cash_used,share_count,prior_cumulative_share_count,post_cumulative_share_count,status,address,realized_profit
0,AMZN,0.047,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
1,BTCUSDT,0.047,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
2,KWEB,0.044,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
3,SUI,0.042,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
4,TECK,0.041,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
5,BILL,0.039,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
6,CRON,0.038,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
7,TBT,0.034,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
8,WDAY,0.034,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
9,WIX,0.032,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
10,TV,0.03,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
11,V,0.03,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
12,GOOGL,0.029,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
13,DLTR,0.029,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
14,LITE,0.029,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
15,GDS,0.027,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
16,ZD,0.027,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
17,CRWD,0.027,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
18,SLV,0.027,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
19,BIDU,0.027,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
20,BABA,0.026,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
21,TSM,0.026,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
22,CNHI,0.025,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
23,VALE,0.025,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
24,IFF,0.024,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
25,CME,0.024,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
26,SCHW,0.024,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
27,SPGI,0.024,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
28,CCI,0.023,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
29,NOAH,0.023,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
30,JBT,0.023,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
31,LUNAUSDT,0.022,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
32,WLTW,0.022,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
33,EWZ,0.022,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
34,FIVN,0.021,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
35,FOUR,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
36,SHOP,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
37,ENS,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
38,SWK,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
39,IIVI,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
40,SPOT,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
41,ECH,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
42,FWONK,0.02,2021-12-30 19:40:22+00:00,,,,,,,,,,,,,0x211fe601e24ce89cb443356f687c67fbf7708412,
